row_id,EID,Title,Subject
0,2-s2.0-105004219795,Computing the intersection of two ellipsoids based on a fast algebraic topology determination strategy,Computer_Graphics_and_Computer-Aided_Design
1,2-s2.0-105026338666,Design and Optimization of Vertical Steering Cam Mechanism for IoT Automated Warehouse Shuttle Vehicle Based on MATLAB-SolidWorks,Computer_Graphics_and_Computer-Aided_Design
2,2-s2.0-105041435786,Integration of Digital Vector Drawing Tools in Mathematics Education: Teachers' Perceptions and Challenges in UAE Private School,Computer_Graphics_and_Computer-Aided_Design
3,2-s2.0-105024062052,DAFU-CAD: Depth-assisted Feature Unraveling for Sketch-based Robust CAD Modeling,Computer_Graphics_and_Computer-Aided_Design
4,2-s2.0-105012171147,Exploring the Intersection of UI Accessibility and Generative AI: A Framework for Human-AI Collaboration,Computer_Graphics_and_Computer-Aided_Design
5,2-s2.0-105031359620,VLSI Architecture Implementation of Selective Level Skip Discrete Wavelet Transform for Efficient Lossy Image Compression,Computer_Graphics_and_Computer-Aided_Design
6,2-s2.0-105031895476,Student Experiences in Online Learning Environments: A Comparative Study of Virtual Worlds and Video Conferencing Platforms,Computer_Graphics_and_Computer-Aided_Design
7,2-s2.0-105020859450,PixBric: Precision Morphological Control of Pre-Stretched Fabrics Through Tessellated Primitive Geometries,Computer_Graphics_and_Computer-Aided_Design
8,2-s2.0-105009233644,Text semantics to controllable design: A residential layout generation method based on stable diffusion model,Computer_Graphics_and_Computer-Aided_Design
9,2-s2.0-105035306571,Mind Matters: AI Driven Advanced Diagnostic of Mental Health,Computer_Graphics_and_Computer-Aided_Design
10,2-s2.0-105014549301,Bringing Attention to CAD: Boundary Representation Learning via Transformer,Computer_Graphics_and_Computer-Aided_Design
11,2-s2.0-105020849638,Integrating Motion Sensing into 3D-Printed Bending Structures,Computer_Graphics_and_Computer-Aided_Design
12,2-s2.0-85200259816,DG-RePlAce: A Dataflow-Driven GPU-Accelerated Analytical Global Placement Framework for Machine Learning Accelerators,Computer_Graphics_and_Computer-Aided_Design
13,2-s2.0-105010773731,"Enhancing Informatics Education Through a Serious Game: Design, Development, and Pedagogical Impact",Computer_Graphics_and_Computer-Aided_Design
14,2-s2.0-105030659268,Teaching the Solar System with a Video Game,Computer_Graphics_and_Computer-Aided_Design
15,2-s2.0-105018520000,FlatCAD: Fast Curvature Regularization of Neural SDFs for CAD Models,Computer_Graphics_and_Computer-Aided_Design
16,2-s2.0-105014433100,Handling Anomalies in CAD Assemblies: Detecting Anomalous and Suggesting Alternative Parts,Computer_Graphics_and_Computer-Aided_Design
17,2-s2.0-105023647711,Towards Accessible Non-Planar FFF Using Triple Z-Axis Kinematics,Computer_Graphics_and_Computer-Aided_Design
18,2-s2.0-105037004155,Medical Image Segmentation Using Triple Cross-Attention Graph Agnostic Multi Scale U-Net,Computer_Graphics_and_Computer-Aided_Design
19,2-s2.0-105007977010,SoftCUDA: Running CUDA on Softcore GPU,Computer_Graphics_and_Computer-Aided_Design
20,2-s2.0-105014966905,A method of topological optimization of a multi-robotic system for aliquoting based on the analysis of the safety zone of two robots,Computer_Graphics_and_Computer-Aided_Design
21,2-s2.0-105008948314,A Survey on Deep Learning in 3D CAD Reconstruction,Computer_Graphics_and_Computer-Aided_Design
22,2-s2.0-105018043873,Beyond Backside Power: Backside Signal Routing as Technology Booster for Standard-Cell Scaling,Computer_Graphics_and_Computer-Aided_Design
23,2-s2.0-105016844465,Urban multi-domain mixing (UMDMix) based unsupervised domain adaptation for LiDAR semantic segmentation,Computer_Graphics_and_Computer-Aided_Design
24,2-s2.0-105025439813,HindEase: A Multimodal Interactive System for Learning Indian Languages by Children at Risk of Dyslexia,Computer_Graphics_and_Computer-Aided_Design
25,2-s2.0-105029423746,Ultra Energy-Efficient Butterfly Counting in Bipartite Networks via Algorithm-Architecture Co-Optimization,Computer_Graphics_and_Computer-Aided_Design
26,2-s2.0-105017123197,A Cloud-based CAD Processing System Utilizing Cloud Rendering Technology and Its Construction Methodology,Computer_Graphics_and_Computer-Aided_Design
27,2-s2.0-105034636883,OCR and NLP-Powered Text-To-Speech System for Mathematical Documents,Computer_Graphics_and_Computer-Aided_Design
28,2-s2.0-105023396962,MT4G: A Tool for Reliable Auto-Discovery of NVIDIA and AMD GPU Compute and Memory Topologies,Computer_Graphics_and_Computer-Aided_Design
