"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shome N.","Shome, Nirupam (57160003900)","57160003900","An efficient parallel network for speech emotion recognition for noisy data condition","2025","Journal of the Franklin Institute","362","18","108232","","","0","10.1016/j.jfranklin.2025.108232","https://www.scopus.com/pages/publications/105024240710?origin=resultslist","Accurately figuring out an individual's emotional states from audio data is the goal of automatic Speech Emotion Recognition (SER). Applications of SER range from psychological diagnosis to human-computer interaction; hence, accurate classification needs a robust framework. Careful feature extraction is crucial for emotion identification. In order to get high prediction accuracy, this study recommends prioritizing the extraction of independent features utilizing feature fusion technology. For this reason, a hybrid approach combining deep learning and automated feature engineering is proposed to recognize emotions with high accuracy. This study simultaneously employed convolutional neural network (CNN)-based networks and attention-based networks to determine spatial attributes and temporal feature representations. To extract self-learned features and improve classification results, the pipeline takes Mel-spectrograms of raw audio signals and employs a hybrid deep learning model with CNN, Pretrained ResNet, and Transformer encoder. Comparing the proposed network against existing parallel and non-parallel models, the findings were favourable in terms of accuracy, precision, recall, F-1 score, and MCC. The highest accuracy of 94.30% has been achieved by the proposed parallel network using clean data. Furthermore, the model achieved accuracy of 91.23% and 90.45% on noisy data contaminated with pink and white noise respectively. The proposed framework outperforms all other current SER studies in both clean and noisy data scenarios. Using RAVDES datasets, the 5-fold cross-validation methodology is used to test the different approaches. It is shown to outperform several other contemporary prior methodologies in the literature, demonstrating the excellence and reliability of this investigation. © 2025 The Franklin Institute. Published by Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Emotion recognition; Hybrid model; Noisy data condition; Parallel network","Data accuracy; Data mining; Deep learning; Extraction; Feature extraction; Human computer interaction; Learning systems; Psychology computing; Speech communication; Speech recognition; Statistical tests; White noise; Condition; Convolutional neural network; Emotion recognition; Emotional state; High-accuracy; Hybrid model; Noisy data; Noisy data condition; Parallel network; Speech emotion recognition; Emotion Recognition","Article","Final","","Scopus","2-s2.0-105024240710"
"Tian Z.; Chen D.; Li H.; Deng H.; Qin S.; Yu H.; Zhang X.","Tian, Zesong (60207949700); Chen, Dexi (60242065400); Li, Hongxing (57189694261); Deng, Hui (60208083900); Qin, Shiliang (60208084000); Yu, Haiyang (60242065500); Zhang, Xiaomeng (60241981300)","60207949700; 60242065400; 57189694261; 60208083900; 60208084000; 60242065500; 60241981300","Research on business-driven adaptive heterogeneous communication mechanism for vehicle-road-cloud","2025","Proceedings of SPIE - The International Society for Optical Engineering","13792","","137921L","","","0","10.1117/12.3089764","https://www.scopus.com/pages/publications/105024937867?origin=resultslist","Aiming at the diverse business needs and dynamic network environment in the vehicle-road-cloud collaborative system, a business-driven adaptive heterogeneous communication mechanism is proposed. By integrating network technologies such as 5G NR, C-V2X and Wi-Fi 6, resource allocation and communication performance are optimized. A heterogeneous network fusion model is designed, and dynamic parameter adjustment is achieved by combining deep reinforcement learning algorithm to meet the low latency, high throughput and high reliability requirements of autonomous driving and traffic management scenarios. Simulation experiments show that compared with the traditional fixed allocation strategy, the proposed mechanism reduces latency by about 30%, increases throughput by about 25%, and reduces energy consumption by about 20%. It effectively solves the performance bottleneck problem in complex network environments and provides theoretical and practical support for communication optimization of intelligent transportation systems. © 2025 SPIE.","adaptive communication; deep reinforcement learning; heterogeneous network; intelligent transportation; vehicle-road-cloud collaboration","Automobile drivers; Complex networks; Deep learning; Deep reinforcement learning; Distributed computer systems; Highway administration; Highway traffic control; Intelligent systems; Intelligent vehicle highway systems; Learning algorithms; Motor transportation; Roads and streets; Vehicle to vehicle communications; Vehicles; Adaptive communications; Business dynamics; Business needs; Collaborative systems; Communication mechanisms; Dynamic network environment; Heterogeneous communication; Intelligent transportation; Reinforcement learnings; Vehicle-road-cloud collaboration; Heterogeneous networks","Conference paper","Final","","Scopus","2-s2.0-105024937867"
"Sun R.; Ding S.; Ding D.; Zhang C.; Xu D.","Sun, Ran (57155258700); Ding, Shiju (60231584600); Ding, Derui (57201041914); Zhang, Chengxi (57199323372); Xu, Dezhi (55638085500)","57155258700; 60231584600; 57201041914; 57199323372; 55638085500","Semi-centralized deep reinforcement learning for maneuver decision-making in multi-UAV collaborative confrontation","2025","Journal of the Franklin Institute","362","18","108173","","","5","10.1016/j.jfranklin.2025.108173","https://www.scopus.com/pages/publications/105024353751?origin=resultslist","This paper addresses the challenge of collaborative confrontation in multi-UAV systems. Traditional centralized methods struggle to scale to large swarms due to communication bottlenecks and gradient instability risks, while fully decentralized approaches frequently lack the capability for highly effective coordination. To overcome these limitations, this research introduces a semi-centralized deep reinforcement learning approach. Firstly, a two-level actor-critic structure is employed to reduce the communication burden during cooperation. The centralized global network utilizes limited information for feature mapping to guide the local network in learning coordinated strategies. Compared to centralized algorithms, the proposed structure alleviates gradient explosion issues when scaling agent populations. Additionally, a global-local confrontation reward is designed to encourage UAVs to perform collaborative actions, further enhancing team-based coordination and combat capabilities. The embedded self-attention mechanism dynamically focuses on critical information within environmental interactions, thereby enhancing policy learning efficiency. Finally, a multi-UAV confrontation scenario with continuous action and state spaces is implemented. Comparative evaluations validate the feasibility and superiority of the proposed method, while ablation experiments systematically demonstrate the efficacy of each core component. © 2025 The Franklin Institute. Published by Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Multi-agent systems; Multi-UAV confrontation; Self-attention mechanism; Twin-delayed deep deterministic policy gradient","Collaborative learning; Decision making; Deep learning; Distributed computer systems; Fighter aircraft; Intelligent agents; Unmanned aerial vehicles (UAV); Attention mechanisms; Centralised; Deterministics; Multi UAV; Multi-UAV confrontation; Multiagent systems (MASs); Policy gradient; Reinforcement learnings; Self-attention mechanism; Twin-delayed deep deterministic policy gradient; Data mining","Article","Final","","Scopus","2-s2.0-105024353751"
"Zhu Q.; Chang Y.","Zhu, Qinghua (57191288350); Chang, Ying (60337549600)","57191288350; 60337549600","Research on perception and mapping technology based on millimeter-wave signals","2025","Proceedings of SPIE - The International Society for Optical Engineering","14003","","140030A","","","0","10.1117/12.3091297","https://www.scopus.com/pages/publications/105027768516?origin=resultslist","In indoor scenarios, accurate radio signal localization is challenging due to unknown multipath components (MPC) and limited feature visibility. Unlike treating non-line-of-sight (NLoS) transmission as interfering noise, this paper uses NLoS parameters as environmental features for position estimation. A millimeter-wave radio SLAM model is established, with MPC from the base station, virtual reflection anchors as the base station's mirror points relative to planes, and scattering anchors accounting for reflection and scattering paths. Given known base station location, receiver's initial position and moving direction, the Rao-Blackwellized particle filter (RBPF) estimates reflection/scattering anchors and the moving receiver's location. MATLAB-based simulations and error analysis verify the algorithm, which leverages multipath for localization and mapping, enhancing NLoS's value in sensing and communication efficiency/accuracy to support future wireless networks.  © 2025 SPIE.","integrated sensing and communications (ISAC); Millimeter-Wave; particle filters (PF); simultaneous localization and mapping (SLAM)","Base stations; Computer vision; Error analysis; Mapping; MATLAB; Multipath propagation; Navigation; Integrated sensing; Integrated sensing and communication; Millimeter wave signals; Multipath components; Nonline of sight; Particle filter; Simultaneous localization and mapping; Technology-based; Millimeter waves","Conference paper","Final","","Scopus","2-s2.0-105027768516"
"Roy R.","Roy, Rupshali (58158922700)","58158922700","Addressing Vulnerabilities and Opacities in Quantum Service Providers","2025","CCS 2025 - Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security","","","","4845","4847","0","10.1145/3719027.3765564","https://www.scopus.com/pages/publications/105023876852?origin=resultslist","There is a steady growth in research and demand for real quantum hardware in the Noisy Intermediate-Scale Quantum (NISQ) era of quantum computing. This prompts many third-party cloud providers to set up quantum hardware as a service that includes a wide range of qubit technologies and architectures to maximize performance at minimal cost. Quantum circuits submitted to these services are the fruits of the efforts invested by the designers. But these third-party cloud compilers (who offer more efficient alternatives to established compilers) can make user circuits/programs vulnerable to various security breaches. Communication channels for transmitting quantum information also need to be developed such that there is end to end encryption. There is little to no visibility on where the execution of the circuit is actually taking place. The success of the user program is highly reliant on the backend that was used for execution. Besides, the third-party provider and/or tools (e.g., hardware mapper and allocator) may be untrustworthy and execute the quantum circuits on less efficient and more error-prone hardware to conserve resources and maximize profit. These vulnerabilities in the quantum system could leak confidential data, cause loss of intellectual property rights of designers, cause loss of access control, corrupt user programs et cetera. Thus, it is imperative to identify these security vulnerabilities and create defense strategies to protect quantum programs, thus helping to maintain the integrity of quantum information across the software stack. My thesis aims to help address these vulnerabilities and opacities and address them. © 2025 Copyright held by the owner/author(s).","Forensics of quantum computing; Quantum Computing; Security of quantum computing","Computer hardware; Copyrights; Laws and legislation; Network security; Opacity; Program compilers; Quantum communication; Quantum cryptography; Quantum theory; Qubits; Cloud providers; Forensic of quantum computing; Quantum circuit; Quantum Computing; Security of quantum computing; Service provider; Third parties; User's programs; Access control","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023876852"
"Gui S.; Zheng M.; Liu Y.","Gui, Shenglin (24824563900); Zheng, Meng (59730975400); Liu, Yangyang (57214947842)","24824563900; 59730975400; 57214947842","Once: A Unified Secure and Lightweight Key Agreement Scheme for Internet of Things","2025","IEEE Internet of Things Journal","12","24","","52143","52161","1","10.1109/JIOT.2025.3615952","https://www.scopus.com/pages/publications/105017747417?origin=resultslist","The Internet of Things (IoT) has achieved rapid development and has been widely used in various industrial communities in recent years. In a typical IoT environment, users can remotely access the smart devices and send instructions to them. If the users’ identities are not correctly verified, potential adversaries could then pretend as legitimate users to send fake or even malicious instructions to the devices, which threatens the security of the entire network. Due to IoT’s open nature and constrained resources on smart devices inside, secure and efficient mutual authentication and key agreement (MAKA) schemes are indispensable to ensure security. A range of MAKA schemes with diverse security goals have been proposed in recent years, yet most of them have flaws in security or performance. In this article, we propose a novel secure and lightweight multifactor MAKA scheme with N messages in only one cycle for both single-gateway and multigateway IoT networks, where N corresponds to the number of participants involved in the network environment. The proposed scheme is capable of providing secure authentication between remote users and smart devices in the face of the state-of-the-art threat model. The security of this scheme has been proved under the random-oracle model, the ProVerif tool, BAN logic, and informal security analysis, collectively demonstrating that our scheme succeeds in meeting all expected security requirements with high confidence. We conduct adequate comparisons, respectively, with 20 single-gateway and six multigateway schemes in terms of security and performance. To the best of the authors’ knowledge, our scheme not only meets all the security requirements but also has minimum communication overhead among all competitors and minimum computation overhead among all multigateway schemes. We believe that our work takes a substantial step toward a further breakthrough on the tradeoff between security and efficiency for MAKA schemes in IoT environments. © 2014 IEEE.","Internet of Things (IoT); key agreement; mutual authentication; one cycle with N messages; security","Authentication; Cryptography; Gateways (computer networks); Internet of things; Network security; Smart devices; Authentication and key agreements; Industrial communities; Key agreement; Key agreement scheme; Mutual authentication; One cycle with N message; Security; Security requirements; Smart devices; User identity; Economic and social effects","Article","Final","","Scopus","2-s2.0-105017747417"
"Franzese O.; Fang C.; Garg R.; Wang X.; Jha S.; Papernot N.; Dziedzic A.","Franzese, Olive (58688741300); Fang, Congyu (57846759200); Garg, Radhika (59328919500); Wang, Xiao (60694655400); Jha, Somesh (7202728236); Papernot, Nicolas (56732917800); Dziedzic, Adam (57192649507)","58688741300; 57846759200; 59328919500; 60694655400; 7202728236; 56732917800; 57192649507","Secure Noise Sampling for Differentially Private Collaborative Learning","2025","CCS 2025 - Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security","","","","4649","4663","0","10.1145/3719027.3744834","https://www.scopus.com/pages/publications/105023837240?origin=resultslist","Differentially private stochastic gradient descent (DP-SGD) trains machine learning (ML) models with formal privacy guarantees for the training set by adding random noise to gradient updates. In collaborative learning (CL), where multiple parties jointly train a model, noise addition occurs either (i) before or (ii) during secure gradient aggregation. The first option is deployed in distributed DP methods, which require greater amounts of total noise to achieve security, resulting in degraded model utility. The second approach preserves model utility but requires a secure multiparty computation (MPC) protocol. Existing methods for MPC noise generation require tens to hundreds of seconds of runtime per noise sample because of the number of parties involved. This makes them impractical for collaborative learning, which often requires thousands or more samples of noise in each training step. We present a novel protocol for MPC noise sampling tailored to the collaborative learning setting. It works by constructing an approximation of the distribution of interest which can be efficiently sampled by a series of table lookups. Our method achieves significant runtime improvements and requires much less communication compared to previous work, especially at higher numbers of parties. It is also highly flexible - while previous MPC sampling methods tend to be optimized for specific distributions, we prove that our method can generically sample noise from statistically close approximations of arbitrary discrete distributions. This makes it compatible with a wide variety of DP mechanisms. Our experiments demonstrate the efficiency and utility of our method applied to a discrete Gaussian mechanism for differentially private collaborative learning. For 16 parties, we achieve a runtime of 0.06 seconds and 11.59 MB total communication per sample, a 230× runtime improvement and 3× less communication compared to the prior state-of-the-art [38] for sampling from discrete Gaussian distribution in MPC. © 2025 Copyright held by the owner/author(s).","collaborative learning; cryptographically verified machine learning; differential privacy; secure multiparty computation","Collaborative learning; Cryptography; Differential privacy; Distributed computer systems; Gaussian distribution; Gaussian noise (electronic); Gradient methods; Learning algorithms; Learning systems; Machine learning; Network security; Stochastic models; Table lookup; Collaborative learning; Cryptographically verified machine learning; Differential privacies; Discrete Gaussians; Machine learning models; Machine-learning; Multiparty computation; Runtimes; Secure multi-party computation; Stochastic gradient descent; Stochastic systems","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105023837240"
"Wani N.M.; Verma G.K.; Kumar N.","Wani, Nahida Majeed (58964792300); Verma, Girraj Kumar (50462796100); Kumar, Neeraj (57206866080)","58964792300; 50462796100; 57206866080","Quantum-safe and provable secure vehicle to infrastructure authenticated key-agreement for VANETs","2025","Journal of Information Security and Applications","95","","104274","","","2","10.1016/j.jisa.2025.104274","https://www.scopus.com/pages/publications/105020985352?origin=resultslist","The rapid progression of Vehicular Ad-Hoc Networks (VANETs) has greatly eased the dissemination of safety-critical data among vehicles. However, the susceptibility of wireless links in VANETs to malicious attacks presents a significant obstacle. To mitigate the obstacle, various authenticated key agreement (AKA) schemes have been devised to establish secure communication between vehicles and infrastructure. However, the advent of quantum computing threatens the security of traditional number theory-based AKA schemes. As a countermeasure, lattice-based schemes have emerged, offering quantum resistance. However, many such lattice-based schemes incur high computational and communication overhead. To overcome these limitations, this paper proposes an efficient and provably secure lattice-based AKA scheme for VANETs. Devised AKA protocol leverages quantum-safe lattice-based cryptography to ensure communication security between vehicles and infrastructure. A comprehensive security analysis within the Real-or-Random model framework validates the proposed scheme’s robustness. Furthermore, performance analysis shows that the proposed scheme reduces computational cost by approximately 92% and communication cost by 29% compared to the existing recent approach, making it well-suited for VANET deployment. © 2025 Elsevier Ltd.","Authenticated-key-agreement; Lattice-based cryptography; Security and privacy; VANET; Vehicle-to-infrastructure","Authentication; Computation theory; Network security; Number theory; Public key cryptography; Quantum communication; Quantum computers; Quantum cryptography; Safety engineering; Secure communication; Vehicles; Authenticated key agreement; Key agreement scheme; Lattice-based; Lattice-based cryptography; Provable secure; Safety critical data; Security and privacy; Vehicle-to-infrastructure; Vehicular Adhoc Networks (VANETs); Wireless link; Vehicular ad hoc networks","Article","Final","","Scopus","2-s2.0-105020985352"
"Dyubele S.; Coulter D.A.","Dyubele, Sithembiso (57219289116); Coulter, Duncan Anthony (36602313600)","57219289116; 36602313600","Stochastic Diffusion Search with Typed Actor Model for Distributed Feature Selection","2025","icABCD 2025 - Proceedings of the 2025 International Conference on Ai, Big Data, Computing and Data Communication Systems","","","18","","","0","10.1145/3759023.3759107","https://www.scopus.com/pages/publications/105022490135?origin=resultslist","Distributed machine learning faces significant challenges in environments with intermittent connectivity and power constraints, particularly in regions with limited infrastructure. While distributed approaches may incur higher computational and communication costs, their benefits can outweigh these limitations. This paper presents the first integration of the typed actor model with Stochastic Diffusion Search (SDS) for distributed feature selection in machine learning. The proposed approach addresses scalability and efficiency challenges through a novel combination of typed concurrent processing and nature-inspired optimization. The employed methodology comprises four phases: initialization, where agents independently select feature subsets; evaluation, utilizing multiple classifiers to assess feature set performance; diffusion, enabling agents to share and adopt successful feature sets; and re-evaluation, measuring the impact of feature adoption. Experimental results demonstrated that the diffusion phase maintains or improves agent performance while promoting robustness through distributed optimization. Through comprehensive empirical analysis, the study showed that the developed approach achieves comparable or superior performance to traditional centralized methods while maintaining resilience to network instability. The primary contributions of this work include a novel integration of SDS with the typed actor model, providing formal guarantees for distributed feature selection; an empirical comparison with classical optimization approaches, including Genetic Algorithms and Particle Swarm Optimization, and a detailed analysis of system behavior under various connectivity constraints. This work advances the field by introducing a typed-safe, concurrent framework for distributed feature selection, which is particularly valuable in environments with resource constraints. © 2025 Copyright held by the owner/author(s).","Concurrent Processing; Distributed Feature Selection; Stochastic Diffusion Search; Typed Actor Model","Concurrency control; Diffusion in solids; Distributed computer systems; Feature extraction; Genetic algorithms; Learning systems; Particle swarm optimization (PSO); Stochastic systems; Actor models; Concurrent processing; Connectivity constraints; Distributed feature selection; Distributed features; Features selection; Features sets; Performance; Stochastic diffusion searches; Typed actor model; Stochastic models","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022490135"
"Gupta R.","Gupta, Ragini (57209831053)","57209831053","Achieving dependable IoT systems through adaptive and continual learning frameworks","2025","Middleware Demos Posters and Doctoral Symposium 2025 - Proceedings of the 2025 International Middleware Conference Demos Posters and Doctoral Symposium Track, Part of Middleware 2025","","","","23","26","0","10.1145/3721464.3777436","https://www.scopus.com/pages/publications/105027123015?origin=resultslist","The rapid proliferation of Internet of Things (IoT) deployments across critical domains demands dependable systems that maintain reliability despite dynamic environmental conditions and resource constraints. Traditional approaches to ensuring data integrity, communication reliability, and security often assume independent and identically distributed (i.i.d.) data (concept drift), making them ill-suited for the non-stationary nature of IoT environments. In practice, sensor faults, network partitions, and evolving attack behaviors frequently disrupt system performance, emphasizing the need for adaptive and resilient frameworks that can sustain trustworthy operation amid heterogeneous application demands, device capabilities, and network traffic dynamics. This research presents a cohesive framework of adaptive learning systems that collectively address these challenges across the IoT stack. Our contributions include energy-aware collaborative sensing with trust management, robust anomaly detection for noisy edge environments, fault-tolerant communication middleware, generative adaptation for network intrusion detection under concept drift, and continual learning for digital twins in non-stationary settings. Through extensive evaluation across multiple IoT domains, we demonstrate that these frameworks significantly enhance the dependability of data-driven IoT systems by enabling autonomous adaptation to changing conditions while operating under limited resource budgets.  © 2025 Copyright held by the owner/author(s).","Concept drift; Continual learning; Dependable IoT","Anomaly detection; Collaborative learning; Data reliability; Digital twin; Distributed computer systems; Fault detection; Fault tolerance; Fault tolerant computer systems; Internet of things; Intrusion detection; Learning systems; Middleware; Network security; Power management; Sensor networks; Trusted computing; Adaptive learning; Concept drifts; Continual learning; Critical domain; Dependable internet of thing; Dependable systems; Environmental conditions; Environmental resources; Learning frameworks; Nonstationary; Budget control","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027123015"
