"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Alindekon S.; Deutsch J.; Rodenburg T.B.; Langbein J.; Puppe B.; Louton H.","Alindekon, Serge (58315983800); Deutsch, Jana (59254469400); Rodenburg, T. Bas (6603563810); Langbein, Jan (8748372300); Puppe, Birger (57206530235); Louton, Helen (56600820800)","58315983800; 59254469400; 6603563810; 8748372300; 57206530235; 56600820800","Tag 'n' Track: Tackling the validation challenge in animal behaviour studies through automated referencing with ArUco markers","2025","Computers and Electronics in Agriculture","229","","109812","","","5","10.1016/j.compag.2024.109812","https://www.scopus.com/pages/publications/85214227994?origin=resultslist","Technological advances promise to greatly assist the study of animal behaviour, but the validation of these technologies is often neglected due to its tedious and labour-intensive nature. This paper addresses the challenges of manual annotation in validating technological tools for animal behaviour research. We detail the implementation and effectiveness of a computer vision method that automatically annotates animals within various regions of interest (ROIs). This method uses ArUco markers, open-source visual markers with a grid pattern, fitted onto vests worn by the animals. To validate this method, we used 245 10-minute videos capturing animals’ visits to key resources, using a mobile barn housing twenty-one chickens. Our method generates annotated videos, revealing unique IDs of individuals and timestamps marking their presence in ROIs. Compared with traditional human observation, our method performed excellently: Spearman's correlation (ρ = 0.96, p < 0.01), 92.83 % sensitivity, 99.93 % specificity, 99.08 % accuracy, 98.77 % precision, and a 95.28 % F1-score. All recordings were annotated automatically in 40.96 h, saving 82.72 % of the time compared to the 222.84 h required for manual annotation. The proposed ArUco marker-based tracking method is easy to set up, based on open-source technology, and accessible to researchers without advanced programming skills. This method has the potential to replace or complement manual annotation, simplifying the validation of new technologies for automated individual tracking. © 2024 The Author(s)","Animal Tracking Technology; Automated Behavior Analysis; Pattern Recognition; Precision Livestock Farming; Validation","Invertebrates; Animal behaviour; Animal tracking; Animal tracking technology; Automated behavior analyze; Behavior analysis; Manual annotation; Precision livestock farming; Regions of interest; Tracking technology; Validation; behavioral response; computer vision; livestock farming; model validation; pattern recognition; precision agriculture; tracking; Livestock","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85214227994"
"Zhang X.","Zhang, Xiangyu (60574952500)","60574952500","CLIP-Diff:Transfer CLIP to Diffusion model for Generalizable Image Denoising","2025","Proceedings of SPIE - The International Society for Optical Engineering","13961","","1396109","","","0","10.1117/12.3077291","https://www.scopus.com/pages/publications/105035536568?origin=resultslist","Low-dose Computer Tomography (LDCT) imaging is prone to severe noise and artifacts due to photon starvation and electronic noise. While recent diffusion-based methods have been proposed to overcome limitations of conventional deep learning denoisers—such as over-smoothing and training instability—the inherent generation inconsistency of diffusion models remains a challenge. Meanwhile, the Contrastive Language–Image Pretraining (CLIP) model has exhibited strong generalization in open-world recognition and segmentation tasks. However, its potential to enhance the robustness of low-level vision tasks like CT denoising has not been fully explored. In this work, we leverage distortion-invariant, content-aware dense features extracted from the frozen ResNet encoder of CLIP. These features are inherently robust and semantically relevant, making them well-suited for guiding the denoising process. We propose a CLIP-guided diffusion framework, where multi-scale dense features from the frozen CLIP encoder are fused with hierarchical features extracted by a U-Net backbone. This integration enhances the denoising model’s ability to preserve fine structural details while effectively suppressing complex noise patterns. Extensive experiments on the Mayo-2016 LDCT benchmark demonstrate that the proposed method achieves superior quantitative and qualitative performance compared to classical and state-of-the-art denoising approaches, validating its effectiveness in clinical LDCT restoration scenarios. © 2025 SPIE. All rights reserved.","CLIP; Computer Tomography; Denoising; Diffusion","Benchmarking; Computer vision; Computerized tomography; Contrastive Learning; Deep learning; Image denoising; Image enhancement; Image segmentation; Medical applications; Medical imaging; Signal encoding; Computer tomography; Contrastive language–image pretraining; De-noising; Diffusion model; Electronic noise; Generalisation; Low dose; Open world; Pre-training; Tomography imaging; Diffusion","Conference paper","Final","","Scopus","2-s2.0-105035536568"
"Doshi F.R.; Konkle T.; Alvarez G.A.","Doshi, Fenil R. (57195282118); Konkle, Talia (23094333800); Alvarez, George A. (7102448914)","57195282118; 23094333800; 7102448914","A feedforward mechanism for human-like contour integration","2025","PLOS Computational Biology","21","8 August","e1013391","","","2","10.1371/journal.pcbi.1013391","https://www.scopus.com/pages/publications/105013484295?origin=resultslist","Deep neural network models provide a powerful experimental platform for exploring core mechanisms underlying human visual perception, such as perceptual grouping and contour integration—the process of linking local edge elements to arrive at a unified perceptual representation of a complete contour. Here, we demonstrate that feedforward convolutional neural networks (CNNs) fine-tuned on contour detection show this human-like capacity, but without relying on mechanisms proposed in prior work, such as lateral connections, recurrence, or top-down feedback. We identified two key properties needed for ImageNet pre-trained, feed-forward models to yield human-like contour integration: first, progressively increasing receptive field structure served as a critical architectural motif to support this capacity; and second, biased fine-tuning for contour-detection specifically for gradual curves (~20degrees) resulted in human-like sensitivity to curvature. We further demonstrate that finetuning ImageNet pretrained models uncovers other hidden human-like capacities in feed-forward networks, including uncrowding (reduced interference from distractors as the number of distractors increases), which is considered a signature of human perceptual grouping. Thus, taken together these results provide a computational existence proof that purely feedforward hierarchical computations are capable of implementing gestalt “good continuation” and perceptual organization needed for human-like contour-integration and uncrowding. More broadly, these results raise the possibility that in human vision, later stages of processing play a more prominent role in perceptual-organization than implied by theories focused on recurrence and early lateral connections. © 2025 Doshi et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.","","Computational Biology; Form Perception; Humans; Models, Neurological; Neural Networks, Computer; Visual Perception; Computation theory; Contour followers; Contour measurement; Convolutional neural networks; Deep neural networks; Feedforward neural networks; Contour detection; Contour integration; Core mechanisms; Experimental platform; Feed forward; Human like; Lateral connections; Neural network model; Perceptual grouping; Perceptual organization; algorithm; architecture; Article; convolutional neural network; deep neural network; diagnostic test accuracy study; feedforward mechanism; human; human experiment; prediction; psychophysics; receiver operating characteristic; reliability; sine wave; training; vision; visual cortex; visual system; artificial neural network; bioinformatics; biological model; pattern recognition; physiology; vision; Integration","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013484295"
"Li W.; Jiang Z.; Li X.; Shi J.; Chen S.","Li, Wangming (60209326900); Jiang, Zhiwei (57404523200); Li, Xiangyang (57226386913); Shi, Jingcheng (59484331800); Chen, Shiguo (58943713100)","60209326900; 57404523200; 57226386913; 59484331800; 58943713100","Spatial-information Recurrent Field Transform Network for Sequence Infrared Small Target Detection","2025","Proceedings of SPIE - The International Society for Optical Engineering","13799","","1379939","","","0","10.1117/12.3075123","https://www.scopus.com/pages/publications/105022790784?origin=resultslist","In infrared technology, small target detection systems have garnered significant attention due to their widespread applications in fields such as search and rescue, ground target monitoring, and early warning systems. However, most existing infrared small target detection (IRSTD) methods primarily focus on single-frame images, which limits their ability to capture temporal continuity and motion cues in real-world scenarios. Single-frame approaches often struggle to distinguish true targets from background noise or dynamic interference, especially when the targets exhibit low signal-to-noise ratios, small spatial scales, or complex motion patterns.To address these challenges, we propose a Spatiotemporal Recurrent Field Transformation Network (SRFT-Net) for sequential infrared small target detection. To effectively capture and track optical flow information, we introduce a Recurrent Pixel Field Transformation module(RFT). This module extracts pixel-level features, constructs a multi-scale 4D correlation volume among all pixels, and iteratively updates the flow field (optical flow) through a recurrent unit that performs efficient lookups within the correlation volume.Additionally, we incorporate a Hybrid Attention Feature Block (HAFB), which integrates local and global attention mechanisms. This module enhances the feature extraction capability for small targets by fusing different features through attention-guided multi-path convolution, thus improving detection performance.Experimental results on the publicly available sequential infrared small target dataset (SIRSTD) demonstrate the strong detection performance of the proposed SRFT-Net. Compared to existing state-of-the-art IRSTD algorithms, SRFT-Net achieves notable improvements across multiple evaluation metrics. © 2025 SPIE.","Convolution Neural Network; Optical Flow; Sequence Infrared Image; Small Target Detection","Computer vision; Convolution; Feature extraction; Infrared devices; Infrared imaging; Infrared radiation; Iterative methods; Optical correlation; Pixels; Radar target recognition; Recurrent neural networks; Target tracking; Convolution neural network; Detection performance; Detection system; In-field; Infrared small targets; Infrared technology; Optical-; Sequence infrared image; Small target detection; Spatial informations; Optical flows","Conference paper","Final","","Scopus","2-s2.0-105022790784"
"Huang H.-T.; Li Z.-C.; Wei Y.; Suen C.Y.","Huang, Hung-Tsai (7405612152); Li, Zi-Cai (7409084297); Wei, Yimin (7404095047); Suen, Ching Yee (7102317250)","7405612152; 7409084297; 7404095047; 7102317250","Improved Splitting-Integrating Methods for Image Geometric Transformations: Error Analysis and Applications","2025","Mathematics","13","11","1773","","","0","10.3390/math13111773","https://www.scopus.com/pages/publications/105007775961?origin=resultslist","Geometric image transformations are fundamental to image processing, computer vision and graphics, with critical applications to pattern recognition and facial identification. The splitting-integrating method (SIM) is well suited to the inverse transformation (Formula presented.) of digital images and patterns, but it encounters difficulties in nonlinear solutions for the forward transformation T. We propose improved techniques that entirely bypass nonlinear solutions for T, simplify numerical algorithms and reduce computational costs. Another significant advantage is the greater flexibility for general and complicated transformations T. In this paper, we apply the improved techniques to the harmonic, Poisson and blending models, which transform the original shapes of images and patterns into arbitrary target shapes. These models are, essentially, the Dirichlet boundary value problems of elliptic equations. In this paper, we choose the simple finite difference method (FDM) to seek their approximate transformations. We focus significantly on analyzing errors of image greyness. Under the improved techniques, we derive the greyness errors of images under T. We obtain the optimal convergence rates (Formula presented.) for the piecewise bilinear interpolations ((Formula presented.)) and smooth images, where (Formula presented.) denotes the mesh resolution of an optical scanner, and N is the division number of a pixel split into (Formula presented.) sub-pixels. Beyond smooth images, we address practical challenges posed by discontinuous images. We also derive the error bounds (Formula presented.), (Formula presented.) as (Formula presented.). For piecewise continuous images with interior and exterior greyness jumps, we have (Formula presented.). Compared with the error analysis in our previous study, where the image greyness is often assumed to be smooth enough, this error analysis is significant for geometric image transformations. Hence, the improved algorithms supported by rigorous error analysis of image greyness may enhance their wide applications in pattern recognition, facial identification and artificial intelligence (AI). © 2025 by the authors.","AI applications; error analysis; finite difference method; harmonic and Poisson models; image geometric transformations; pattern recognition; splitting-integrating method","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105007775961"
"Gupta V.; Mishra A.; Shrivastava N.","Gupta, Vandana (59940003300); Mishra, Ashish (56701626100); Shrivastava, Nishant (37102636900)","59940003300; 56701626100; 37102636900","Local Binary Patterns: Spatial Encoding to Deep Learning Fusion","2025","Proceedings of the IEEE International Conference Image Information Processing","","","","267","272","0","10.1109/ICIIP68302.2025.11346255","https://www.scopus.com/pages/publications/105033221707?origin=resultslist","Local Binary Pattern (LBP) is a popular and important handcrafted method that is used to extract local structural information from images. It is very simple and fast in computation, which makes it suitable for texture classification tasks and for systems that need to work in real time or with limited resources. LBP and its variations are very useful in many computer vision applications such as image retrieval, object detection, medical image analysis, and face recognition. This work reviews the main developments in LBP-based methods with emphasis on the variants developed in the spatial domain. These versions were introduced to handle issues such as noise, changes in lighting, and the lack of rotation invariance. This study also shows that LBP-based methods continue to be effective, discriminative, and practical for real-world applications. © 2025 IEEE.","Computer Vision; Feature Extraction and Pattern Recognition; Local Binary Pattern (LBP); Texture Analysis","Deep learning; Face recognition; Feature extraction; Image retrieval; Local binary pattern; Medical image processing; Object detection; Object recognition; Textures; Feature extraction and pattern recognition; Feature pattern; Features extraction; Local binary pattern; Local binary patterns; Pattern based method; Simple++; Spatial encoding; Structural information; Texture analysis; Real time systems","Conference paper","Final","","Scopus","2-s2.0-105033221707"
"Kishore Karthick A.; Tamizhselvi A.","Kishore Karthick, A. (60575046700); Tamizhselvi, A. (55761740700)","60575046700; 55761740700","Investigating the Generalization Capabilities of CapsNets for Zero-Shot Cross-Script Handwritten Digit Recognition","2025","Proceedings of 5th International Conference on Evolutionary Computing and Mobile Sustainable Networks, ICECMSN 2025","","","","598","603","0","10.1109/ICECMSN68058.2025.11382873","https://www.scopus.com/pages/publications/105035489135?origin=resultslist","Handwritten digit recognition is a fundamental problem in pattern recognition and computer vision, with applications in automated document processing, banking, and postal services. While Convolutional Neural Networks (CNNs) have achieved high accuracy on standard datasets such as MNIST, their performance often declines when encountering unseen handwriting styles, orientations, or entirely new scripts. This paper investigates the generalization capabilities of Capsule Networks (CapsNet) for zero-shot cross-script handwritten digit recognition. CapsNets, by preserving spatial hierarchies and capturing part-whole relationships through dynamic routing, can transfer knowledge learned from one script to recognize digits in previously unseen scripts, including Latin, Arabic, Kannada, and Devanagari. We propose a novel zero-shot recognition framework using CapsNets and evaluate it across multiple benchmark datasets, comparing its performance with conventional CNN architectures. Experimental results demonstrate that CapsNets achieve superior generalization in zero-shot scenarios, effectively handling cross-script variations and complex handwriting structures. Furthermore, we explore attribute-based representations and training strategies to enhance zero-shot adaptability, highlighting CapsNet's potential as a scalable and script-agnostic recognition model. These findings suggest that Capsule Networks offer a robust and promising approach for real-world, multi-script, zero-shot handwriting recognition challenges. © 2025 IEEE.","Arabic; Capsule Networks; Cross-Script; Deep Learning; Devanagari; Handwritten Digit Recognition; Kannada; MNIST; Zero-Shot Learning","Automation; Benchmarking; Character recognition; Convolutional neural networks; Information services; Arabic; Capsule network; Convolutional neural network; Cross-script; Deep learning; Devanagari; Generalization capability; Handwritten digit recognition; Kannada; MNIST; Deep learning","Conference paper","Final","","Scopus","2-s2.0-105035489135"
"Yang W.; Zhang L.; Zhao C.; Guan L.","Yang, Wanru (60286745300); Zhang, Le (59477041700); Zhao, Chunya (59199833600); Guan, Lele (59199646200)","60286745300; 59477041700; 59199833600; 59199646200","A Method for Deepfake Detection Based on Keyframes and Multi-Scale Directional Texture Differences","2025","Proceedings of SPIE - The International Society for Optical Engineering","13993","","1399340","","","0","10.1117/12.3094176","https://www.scopus.com/pages/publications/105026840137?origin=resultslist","With the rapid development of deep fake technology, fake face images and videos are becoming more and more realistic, causing many safety hazards in our daily life. A series of fake detection technologies have emerged one after another. The convolutional neural network model discriminator has shown good performance in classifying real and fake face images. We found that due to operations such as blending, details such as edge textures are unnatural. The subtle texture changes on the face play an important role in deep fake detection. In addition, the texture changes between frames of fake videos are larger than those of original videos. Inspired by the above observations, this paper proposes a new method for forgery detection, a deep fake detection method based on key frame extraction and multi-scale directional texture attention. Vertically, we propose a key frame extraction method to extract the key frame with the largest difference and retain the image frame with a higher possibility of tampering. Horizontally, we propose an MDT module for key frames, combine spatial pyramid pooling and improved LBP to extract multi-scale directional texture features, and introduce a spatial attention mechanism to enhance the model’s attention to the forged area. Experimental results show that compared with other methods, our method not only improves the detection speed, but also achieves good detection accuracy. © 2025 SPIE.","deepfake detection; keyframes; local binary pattern; spatial pyramid pooling","Blending; Computer vision; Discriminators; Face recognition; Fake detection; Neural networks; Textures; Deepfake detection; Directional texture; Face images; Fake detection; Key-frame extraction; Key-frames; Local binary patterns; Multi-scales; Spatial pyramid pooling; Spatial pyramids; Extraction","Conference paper","Final","","Scopus","2-s2.0-105026840137"
"Park J.; Jeong J.","Park, Jiseop (60162419000); Jeong, Jaejin (35753068800)","60162419000; 35753068800","Radar-Based Gesture Recognition Using Adaptive Top-K Selection and Multi-Stream CNNs","2025","Sensors","25","20","6324","","","3","10.3390/s25206324","https://www.scopus.com/pages/publications/105020244829?origin=resultslist","With the proliferation of the Internet of Things (IoT), gesture recognition has attracted attention as a core technology in human–computer interaction (HCI). In particular, mmWave frequency-modulated continuous-wave (FMCW) radar has emerged as an alternative to vision-based approaches due to its robustness to illumination changes and advantages in privacy. However, in real-world human–machine interface (HMI) environments, hand gestures are inevitably accompanied by torso- and arm-related reflections, which can also contain gesture-relevant variations. To effectively capture these variations without discarding them, we propose a preprocessing method called Adaptive Top-K Selection, which leverages vector entropy to summarize and preserve informative signals from both hand and body reflections. In addition, we present a Multi-Stream EfficientNetV2 architecture that jointly exploits temporal range and Doppler trajectories, together with radar-specific data augmentation and a training optimization strategy. In experiments on the publicly available FMCW gesture dataset released by the Karlsruhe Institute of Technology, the proposed method achieved an average accuracy of 99.5%. These results show that the proposed approach enables accurate and reliable gesture recognition even in realistic HMI environments with co-existing body reflections. © 2025 by the authors.","deep learning; FMCW radar; hand gesture recognition; human–computer interaction; human–machine interface; radar signal preprocessing","Algorithms; Gestures; Humans; Neural Networks, Computer; Pattern Recognition, Automated; Radar; User-Computer Interface; Continuous wave radar; Frequency modulation; Gesture recognition; Human computer interaction; Internet of things; Palmprint recognition; Radar signal processing; Computer interaction; Deep learning; Frequency-modulated-continuous-wave radars; Gestures recognition; Hand-gesture recognition; Human Machine Interface; K-selection; Radar signal preprocessing; Radar signals; Signal preprocessing; algorithm; artificial neural network; automated pattern recognition; computer interface; gesture; human; procedures; telecommunication; Deep learning","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020244829"
"Long X.; Wang S.; Chen Y.","Long, Xiangdong (60115638400); Wang, Shuqing (60115328600); Chen, Yong (55966716400)","60115638400; 60115328600; 55966716400","VFGF: Virtual Frame-Augmented Guided Prediction Framework for Long-Term Egocentric Activity Forecasting","2025","Sensors","25","18","5644","","","0","10.3390/s25185644","https://www.scopus.com/pages/publications/105017116670?origin=resultslist","Accurately predicting future activities in egocentric (first-person) videos is a challenging yet essential task, requiring robust object recognition and reliable forecasting of action patterns. However, the limited number of observable frames in such videos often lacks critical semantic context, making long-term predictions particularly difficult. Traditional approaches, especially those based on recurrent neural networks, tend to suffer from cumulative error propagation over extended time steps, leading to degraded performance. To address these challenges, this paper introduces a novel framework, Virtual Frame-Augmented Guided Forecasting (VFGF), designed specifically for long-term egocentric activity prediction. The VFGF framework enhances semantic continuity by generating and incorporating virtual frames into the observable sequence. These synthetic frames fill the temporal and contextual gaps caused by rapid changes in activity or environmental conditions. In addition, we propose a Feature Guidance Module that integrates anticipated activity-relevant features into the recursive prediction process, guiding the model toward more accurate and contextually coherent inferences. Extensive experiments on the EPIC-Kitchens dataset demonstrate that VFGF, with its interpolation-based temporal smoothing and feature-guided strategies, significantly improves long-term activity prediction accuracy. Specifically, VFGF achieves a state-of-the-art Top-5 accuracy of 44.11% at a 0.25 s prediction horizon. Moreover, it maintains competitive performance across a range of long-term forecasting intervals, highlighting its robustness and establishing a strong foundation for future research in egocentric activity prediction. © 2025 by the authors.","action anticipation; egocentric vision; recurrent neural network; transformer; visual semantic fusion","Computer vision; Forecasting; Object recognition; Semantic Web; Semantics; Virtual addresses; Action anticipations; Activity forecasting; Activity predictions; Egocentric vision; Neural-networks; Semantic fusion; Transformer; Virtual frame; Visual semantic fusion; Visual semantics; anticipation; article; forecasting; kitchen; nonhuman; prediction; recurrent neural network; videorecording; vision; Recurrent neural networks","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105017116670"
