"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Jin G.; Peng Y.","Jin, Guibo (60327885000); Peng, Yuankun (57222475971)","60327885000; 57222475971","A Correct Method for Adding Signal to Noise Ratio","2025","Proceedings of 2025 4th International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP 2025","","","","606","609","0","10.1145/3778534.3778628","https://www.scopus.com/pages/publications/105027010681?origin=resultslist","Simulation plays an important role in the verification of algorithms and academic research. Gaussian white noise is widely present in real engineering. Many scholars directly use the built-in AWGN function in MATLAB during simulation. However, due to the lack of detailed attention to the fact that the AWGN function is added to the signal-to-noise ratio of the entire frequency band rather than the signal frequency band, the added signal-to-noise ratio is too large and does not meet the requirements of real simulation. Some scholars use the signal as a reference to add noise, which is not in line with reality. In reality, noise should be used as a reference. Therefore, this paper uses noise as a reference, adjusts the amplitude of the signal, and adds signal-to-noise ratio through beamforming. And the correctness of the proposed method was verified through simulation comparison.  © 2025 Copyright held by the owner/author(s).","beamforming; delay; Gaussian white noise; signal-to-noise ratio","Background noise; Gaussian noise (electronic); Human computer interaction; Information systems; Information use; MATLAB; Quality control; White noise; Academic research; Algorithm researches; Delay; Gaussian white noise; Noise ratio; Real engineering; Signal frequency bands; Signal to noise; Simulation comparison; Signal to noise ratio","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027010681"
"Wang Y.; Gan J.; Fang R.; Lai P.","Wang, Yilei (57222133775); Gan, Jiaxin (59565078300); Fang, Ruixiong (57985851100); Lai, Peichao (57985522100)","57222133775; 59565078300; 57985851100; 57985522100","Span-based sliding window feature extraction and label knowledge for few-shot Named Entity Recognition","2025","Engineering Applications of Artificial Intelligence","162","","112702","","","2","10.1016/j.engappai.2025.112702","https://www.scopus.com/pages/publications/105025688452?origin=resultslist","Named Entity Recognition remains a fundamental task in natural language processing with significant downstream applications. However, named entity recognition in low-resource scenarios continues to face persistent challenges, primarily due to character ambiguity, gaps in domain-specific knowledge, and the absence of explicit word boundaries in character-dense languages. Existing methods largely rely on external lexicons, corpora, or cross-domain transfer learning, but they suffer from three major limitations: over-reliance on external resources, limited capacity to handle nested entities and multi-label annotations, and inadequate entity awareness in low-resource settings. To address these issues, we propose an innovative span-based framework that integrates contextual feature learning with label knowledge utilization. Our method introduces a sliding window mechanism to capture context-aware character representations, effectively resolving character ambiguity while eliminating the dependency on external resources. In addition, a biaffine span classification architecture is employed to model boundary-aware scoring matrices, enabling the unified recognition of both flattened and nested entities. To further enhance entity awareness under low-resource conditions, we incorporate a novel sentence-level auxiliary module that predicts label-specific entity counts. This auxiliary task captures the distributional patterns of entities, serving as an additional supervisory signal that guides the model during training. Comprehensive experiments on both nested and flattened named entity recognition benchmark datasets across multiple languages demonstrate the superior performance and strong generalization ability of our approach, achieving state-of-the-art results. These findings underscore the potential of our method to advance the development of few-shot named entity recognition. © 2025 Elsevier Ltd.","Few-shot learning; Information extraction; Named entity recognition","Benchmarking; Character recognition; Extraction; Learning systems; Natural language processing systems; Domain-specific knowledge; Downstream applications; External resources; Features extraction; Few-shot learning; Information extraction; Language processing; Named entity recognition; Natural languages; Sliding Window; Information retrieval","Article","Final","","Scopus","2-s2.0-105025688452"
"Li Y.; Wu L.; Liu H.; Huang M.; Sun C.","Li, Yuqin (57211953196); Wu, Linghong (59533135400); Liu, Hongchao (60310290100); Huang, Mengcheng (60196127500); Sun, Chenrui (59533528300)","57211953196; 59533135400; 60310290100; 60196127500; 59533528300","A novel multiclass chest disease detection method based on YOLOv12 in chest x-ray","2025","Proceedings of SPIE - The International Society for Optical Engineering","14006","","140060E","","","0","10.1117/12.3092164","https://www.scopus.com/pages/publications/105026933572?origin=resultslist","Chest X-ray (CXR) is an essential imaging modality widely used for the early detection of thoracic conditions. Recent popular methods in deep learning have driven great process in chest diseases detection. However, most existing detection methods focus on identifying or classifying single lesions, and small lesions in X-rays are often missing due to their small size and low resolution. Addressing these issues, we present an improved detection technique built upon the YOLOv12 architecture. A multi-scale parallel large convolution kernel module and an enhanced parallel attention module are introduced in the feature extraction phase to capture features with different scales. Furthermore, the wavelet transform is adopted as the downsampling way to minimize information loss. We also integrate extra detection heads to strengthen the identification of subtle lesions. Evaluations performed on the VinDr-CXR dataset indicate that the proposed approach achieves improvements of 1.1% in Recall, 1.2% in mAP50, and 0.6% in mAP50-95 over the baseline, confirming its efficacy in boosting chest disease detection accuracy.  © COPYRIGHT SPIE.","Chest Disease Detection; Chest X-ray; Multi-class Detection","Deep learning; Diseases; Learning systems; Medical imaging; Chest disease detection; Chest X-ray; Chest x-rays; Condition; Detection methods; Disease detection; Imaging modality; Lower resolution; Multi-class detection; Small lesions; Wavelet transforms","Conference paper","Final","","Scopus","2-s2.0-105026933572"
"Diaz J.; Alsadoon A.; Jerew O.D.; Osman A.H.; Aljahdali H.M.; Abuobieda A.; Elsafi A.","Diaz, Julian (60377758400); Alsadoon, Abeer (56575128400); Jerew, Oday D. (35306943300); Osman, Ahmed Hamza (57195740148); Aljahdali, Hani Moetque (57192160630); Abuobieda, Albaraa (55078358100); Elsafi, Abubakar (56418348700)","60377758400; 56575128400; 35306943300; 57195740148; 57192160630; 55078358100; 56418348700","Dynamic Trust Modulation and Human Oversight in AI-Driven AML Systems: A Conceptual Framework for Compliance","2025","International Journal of Advanced Computer Science and Applications","16","12","","92","111","0","10.14569/IJACSA.2025.0161209","https://www.scopus.com/pages/publications/105029684338?origin=resultslist","This literature review investigates how human trust, decision fatigue, explainability (XAI), and human oversight interrelate to influence analyst decision-making in AI-driven anti-money laundering (AML) systems. While prior research has predominantly emphasized algorithmic performance, detection accuracy, or regulatory compliance in isolation, a critical gap remains in understanding the human-centered dynamics that shape real-world operational outcomes. Addressing this gap, the review examines how financial institutions navigate compliance demands and operational constraints, drawing on the Australian regulatory environment as an illustrative governance reference, including expectations articulated by AUSTRAC. Building on this synthesis, the study identifies structural gaps in Trust Calibration and oversight practices. It introduces a Dynamic Trust Modulation (DTM) framework to conceptualize how trust evolves across AML workflows. The framework models trust as a fluid, context-dependent construct shaped by system behavior, analyst workload, explainability mechanisms, and regulatory pressure. By framing trust, explainability, and decision fatigue as interdependent components of human–AI collaboration, this review advances a more holistic perspective on socio-technical system design in financial crime detection. The proposed framework contributes theoretically by extending human–AI trust research into the AML domain and practically by offering actionable design principles to enhance system accountability, decision defensibility, and adaptive compliance in operational AML environments. © (2025), (Science and Information Organization). All rights reserved.","Analyst–System Interaction; anti-money laundering (AML); Artificial intelligence; AUSTRAC Compliance; decision fatigue; Explainability; false positives; human oversight; Regulatory Technology (RegTech); transaction monitoring; Trust Calibration","Behavioral research; Calibration; Decision making; Decision theory; Fatigue of materials; Human computer interaction; Information systems; Information use; Laundering; Regulatory compliance; Analyst–system interaction; Anti-money laundering; AUSTRAC compliance; Decision fatigue; Explainability; False positive; Human oversight; Regulatory technology; System interactions; Transaction monitoring; Trust calibration; Artificial intelligence","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105029684338"
"Yu S.-J.; Sangiovanni-Vincentelli A.","Yu, Sheng-Jung (57216287737); Sangiovanni-Vincentelli, Alberto (35513835900)","57216287737; 35513835900","Ensuring Strong Replaceability of Assume-guarantee Contract for Feedback Composition","2025","Proceedings - 2025 23rd ACM/IEEE International Symposium on Formal Methods and Models for System Design, MEMOCODE 2025","","","","47","56","0","10.1145/3742875.3754688","https://www.scopus.com/pages/publications/105027276506?origin=resultslist","Contract-based design is a promising design methodology that leverages rigorous specification, refinement relation, and composition operation for compositional reasoning to address system design complexity and heterogeneity by facilitating independent development of the subsystems. However, vacuous implementations - those with empty behaviors under the targeted environment - can occur even if the subsystem designers correctly refine the contracts according to the refinement relation. This compromises the benefits of independent development as vacuous implementations fail to satisfy the design goals. Although previous research emphasizes the importance of strong replaceability and receptiveness in addressing this issue, strong replaceability in feedback composition is not guaranteed. In this paper, we tackle this challenge by identifying conditions to ensure strong replaceability in feedback composition. These conditions are developed and validated through the analysis of fixed obligations, representing the behaviors collaboratively allowed by subsystem contracts, and fixed obligation graphs, which illustrate the relation between fixed obligations. We propose algorithms to verify strong replaceability for the subsystem contracts, offering a general approach that utilizes set operations and satisfiability modulo theories-based encoding to circumvent reliance on specific underlying theories in contract descriptions. By addressing this gap in contract-based design methodology, our developed conditions and algorithms ensure correct and meaningful implementations.  © 2025 Copyright held by the owner/author(s).","","Feedback; Information systems; Information use; Smart contract; Compositional reasoning; Condition; Contract-based designs; Design goal; Design Methodology; Encodings; Satisfiability modulo Theories; Set operation; Specification refinements; System design complexity; Design","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027276506"
"Derafshkavian P.","Derafshkavian, Peyman (57221599765)","57221599765","Proposal of the Assessment of the 4-Workflow Model for Secure Agile Process Practices","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering , EASE, 2025 edition, EASE 2025","","","","852","857","1","10.1145/3756681.3757047","https://www.scopus.com/pages/publications/105026931036?origin=resultslist","In today's fiercely competitive business landscape, organizations must operate with speed and foster innovation. Consequently, the majority of businesses have embraced an agile development approach. However, the heightened pace of development presents various vulnerabilities for exploitation by cybercriminals, particularly when the security of software lifecycle processes is neglected or deferred to reactionary methods after compromises take place. To address this challenge, the solution lies in advocating for a light-weight framework where security receives its essential needed attention from all aspects of the process: requirements and sprint, dependencies management, deployment process, and incident and response management. Therefore, we give a background on our 4-workflow solution, followed by a detailed survey on the recent multivocal literature on how to assess this solution in practice and we produced a resulting evaluation methodology and a taxonomy of tools and metrics. © 2025 Copyright held by the owner/author(s).","agile process security; metrics; workflow model","Agile manufacturing systems; Information systems; Information use; Workflow management; Agile development; Agile process; Agile process security; Competitive business; Cybercriminals; Development approach; Metric; Process security; Software life cycles; Workflow models; Life cycle","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026931036"
"Wang S.; Di X.","Wang, Shuai (55768734300); Di, Xiaoqiang (55358368500)","55768734300; 55358368500","ROI-I²-GCN for robust tracking and trajectory prediction of LEO satellites","2025","Proceedings of SPIE - The International Society for Optical Engineering","14006","","1400606","","","0","10.1117/12.3092305","https://www.scopus.com/pages/publications/105026955365?origin=resultslist","With the rapid deployment of low Earth orbit (LEO) satellite constellations, real-time and high-precision ground-based tracking has become essential for ensuring stable optical communication links. Traditional orbit prediction methods based on physics models and sensor fusion often struggle to meet these requirements due to satellite rapid motion, orbital uncertainties, and atmospheric disturbances. To address these challenges, we propose a region-of-interest (ROI) attention- enhanced I2 -GCN (Intra-Inter Graph Convolutional Network) framework for satellite target tracking and trajectory prediction. The method represents consecutive satellite images as superpixel graphs, constructs intra-frame and inter-frame adjacency matrices, and introduces node saliency and motion saliency to dynamically adjust graph connectivity. This design guides information propagation toward target-relevant regions while suppressing background noise. Experimental evaluations on real ground station observation data, consisting of approximately 1,000 LEO satellite image frames with mask annotations, demonstrate that the proposed ROI-I2 -GCN achieves superior accuracy and efficiency. Compared with baseline I2 -GCN and other state-of-the-art methods, our model attains higher IoU (0.73), Precision (0.88), Recall (0.84), and F1-score (0.82), while reducing inference time to 1.2 ms per frame. These results confirm that integrating ROI attention into I2 -GCN significantly improves robustness to abrupt motion and weak targets, providing a promising solution for real-time, high-accuracy satellite laser tracking systems.  © COPYRIGHT SPIE.","Intra Inter Graph Convolutional Network; Region-of-interest; Robust Tracking; Trajectory Prediction","Communication satellites; Global positioning system; Graph theory; Motion tracking; Optical communication; Orbits; Robotics; Satellite communication systems; Satellite links; Target tracking; Convolutional networks; Intra inter graph convolutional network; Low earth orbit satellites; Rapid deployments; Real- time; Region-of-interest; Regions of interest; Robust tracking; Satellite images; Trajectory prediction; Convolution","Conference paper","Final","","Scopus","2-s2.0-105026955365"
"Zhao W.; Yu Y.; Yang M.; Zhang G.; Cao J.","Zhao, Wenlong (60328208400); Yu, Yongyan (60327880600); Yang, Minjuan (60327880700); Zhang, Guangan (60327797000); Cao, Jianrui (60328208500)","60328208400; 60327880600; 60327880700; 60327797000; 60328208500","Research on the Construction of a Prediction Model for the Modernization Level of the Management System of AI-driven Specialized, Refined, Unique and Innovative Demonstration Enterprises","2025","Proceedings of 2025 4th International Conference on Artificial Intelligence and Intelligent Information Processing, AIIIP 2025","","","","526","530","0","10.1145/3778534.3778616","https://www.scopus.com/pages/publications/105027009334?origin=resultslist","Against the backdrop of the continuous deepening of digital transformation, traditional management models are difficult to adapt to the dynamically changing market environment, and enterprises urgently need scientific methods to assess the modernization level of their own management. In view of the limitations of existing algorithms in temporal feature processing and classification accuracy, this paper proposes the LSTM-Adaboost classification algorithm. The research first conducts a correlation analysis and then verifies the model performance through comparative experiments of multiple sets of machine learning algorithms. The results show that this algorithm outperforms decision trees, random forests, CatBoost, XGBoost and BP neural networks in all evaluation indicators as a whole Its Accuracy and Recall both reached 0.862, Precision was 0.865, F1 value was 0.835, and AUC was as high as 0.949. It demonstrated significant advantages in classification accuracy, positive category recognition ability, prediction accuracy, and comprehensive category discrimination ability. This result indicates that LSTM-Adaboost, with its temporal feature extraction capability and the advantages of integrated learning, performs better in the classification prediction of the modernization level of the management system of specialized, refined, distinctive and innovative demonstration enterprises. It provides efficient and reliable algorithmic support for the scientific assessment of the modernization level of enterprise management and also offers a useful reference for solving classification problems of similar attributes.  © 2025 Copyright held by the owner/author(s).","Adaboost; Digital transformation; LSTM; modernization level of enterprise management","Classification (of information); Decision trees; Enterprise resource management; Forestry; Information systems; Information use; Learning systems; Machine learning; Modernization; Random forests; Classification accuracy; Digital transformation; Enterprise management; LSTM; Management Model; Management systems; Modernization level of enterprise management; Prediction modelling; Temporal features; Traditional management; Forecasting","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105027009334"
"Nkenyereye L.; Lee B.G.; Chung W.-Y.","Nkenyereye, Lionel (57388451000); Lee, Boon Giin (25927191200); Chung, Wan-Young (7401982175)","57388451000; 25927191200; 7401982175","Deep Q-learning with feature extraction and prioritized experience replay for edge node overload in edge computing","2025","Engineering Applications of Artificial Intelligence","162","","112124","","","0","10.1016/j.engappai.2025.112124","https://www.scopus.com/pages/publications/105016867578?origin=resultslist","Keeping track of the edge nodes’ status information is crucial, which is the condition of their available compute capacity as measured by their Age-of-Information. In Internet of Things-oriented edge computing systems, the computational and software-defined infrastructure resources are heterogeneous and subject to rapid change. Edge computing systems often face dynamic workloads and limited computational resources, leading to frequent node overload scenarios. These overloads degrade system responsiveness and service availability, especially in latency-sensitive applications. The scheduling of computation tasks would consider both current resource availability and predicted overload risks. An intelligent, adaptive method that learns optimal task allocation under resource constraints has the potential to boost the operational efficiency of Internet of Things-oriented edge computing systems. Addressing edge node overload is critical for the sustainable and scalable deployment of edge-based infrastructures. This research designs a resource-overloaded detection model specifically for diverse workloads in edge computing systems. The proposed Deep Reinforcement Learning model explores two significant challenges: the selection of pertinent feature sets from the workload resource utilization storage, and their classification of overload and detection of fatal failure of edge computing nodes. We propose a Deep-Q Network with a prioritized experience replay framework for edge node resource overload. The framework relies on feature learning using Linear Discriminant Analysis and Deep Q Network with a prioritized experience replay to efficiently indicate the overload status of edge nodes and reward the system with actions that enhance edge resources allocation. Deep-Q Network is well-suited for sequential decision-making in dynamic environments, while prioritized experience replay improves sample efficiency by focusing on updating on high-priority transitions with larger temporal-difference errors. Features are learned automatically from the edge node resource profiling data generated on a real edge-based container infrastructure. Linear Discriminant Analysis reduces the high-dimensional state space by emphasizing the most discriminative features for scheduling decisions. The infrastructure executes an intelligent inference of containerized applications considered as resource-intensive applications. When the feature extraction is added to the proposed deep reinforcement learning model, the overload classifier's performance is improved. Comparing the model with selection to the one without it, the total accuracy and F1-score were improved by 1.3% and 1.4%, respectively. © 2025 Elsevier Ltd","Containerized edge applications; Deep reinforcement learning; Edge computing; Edge node overload; Feature extraction; Internet of Things; Prioritized experience replay; Resource overload","Computational efficiency; Containers; Decision making; Deep learning; Deep reinforcement learning; Digital storage; Discriminant analysis; Edge computing; Edge detection; Extraction; Internet of things; Quality of service; Resource allocation; Computing system; Containerized edge application; Edge computing; Edge node overload; Edge nodes; Experience replay; Features extraction; Prioritized experience replay; Reinforcement learnings; Resource overload; Feature extraction","Article","Final","","Scopus","2-s2.0-105016867578"
"Bui D.H.; Siirtola P.; Tamminen S.","Bui, Dai Hieu (60327893400); Siirtola, Pekka (23393881200); Tamminen, Satu (6507476370)","60327893400; 23393881200; 6507476370","Machine Learning-Driven Forecasting of Glucose Drops in Exercise","2025","UbiComp Companion 2025 - Companion of the 2025 ACM International Joint Conference on Pervasive and Ubiquitous Computing","","","","1619","1625","0","10.1145/3714394.3756340","https://www.scopus.com/pages/publications/105026976296?origin=resultslist","Managing blood glucose in daily life is crucial for individuals living with diabetes. Ensuring that intense physical activity can be performed safely, without increasing the risk of hypoglycemia, remains a significant challenge. This paper presents a data-driven approach for predicting whether a planned exercise session is likely to lead to a high glucose drop. The prediction is based not only on session characteristics such as duration and intensity but also on contextual and individual-level factors including past activity patterns, continuous glucose monitoring (CGM) data, and patient-specific information such as age and health status. The goal is to support proactive self-management by providing personalized alerts and recommendations before exercise begins. © 2025 Owner/Author.","data-driven health; glucose variability; health risk prediction; hypoglycemia; patient monitoring; personalized healthcare; physical activity; risk classification; type 2 diabetes mellitus; wearable sensors","Classification (of information); Drops; Forecasting; Glucose sensors; Health risks; Learning systems; Machine learning; Medical computing; Patient monitoring; Wearable sensors; Data driven; Data-driven health; Glucose variability; Health risk prediction; Hypoglycaemia; Personalized healthcare; Physical activity; Risk classification; Risk predictions; Type 2 diabetes mellitus; Glucose","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026976296"
