"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Cui L.; Huang M.; Zhao K.","Cui, Liu (56643747000); Huang, Ming (60221996100); Zhao, Kai (56739805700)","56643747000; 60221996100; 56739805700","Multi-level threshold LZC complexity analysis for classification of colonic pressure signals","2025","Proceedings of SPIE - The International Society for Optical Engineering","13978","","139780Q","","","0","10.1117/12.3089403","https://www.scopus.com/pages/publications/105026750459?origin=resultslist","Constipation is a very common clinical complaint, with slow transit constipation (STC) accounting for a significant proportion of cases. Elderly individuals, females, patients with psychiatric disorders, and those with a history of sexual abuse are more susceptible to STC. Accurate diagnosis of STC relies on confirming delayed colonic transit, which can be assessed through various methods. Among them, colonic pressure signals serve as crucial physiological indicators, but they are typically chaotic and complex, making direct analysis challenging. To address this, Lempel-Ziv Complexity (LZC) is introduced in this study to quantify the complexity of colonic pressure signals. However, the effectiveness of LZC heavily depends on the selection of appropriate thresholds, which remains a key challenge. This paper proposes a novel multi-level thresholding strategy for LZC feature extraction, utilizing quantile-based threshold combinations to enhance adaptability and robustness in the face of non-stationary signal characteristics. The extracted LZC features are subsequently fed into a classifier to achieve automatic classification of colonic pressure signals. Experimental results demonstrate that the proposed method achieves promising performance in distinguishing STC from normal cases, indicating its potential as a reliable tool for aiding in the diagnosis of constipation. © 2025 SPIE.","Colonic Pressure Signals; Lempel-Ziv Complexity; Multi-level Thresholding; Slow Transit Constipation","Biomedical signal processing; Classification (of information); Computer aided diagnosis; Colonic pressure; Colonic pressure signal; Complexity analysis; Lempel-ziv complexity; Multilevel thresholding; Multilevels; Physiological indicators; Pressure signal; Psychiatric disorders; Slow transit constipation; Image processing","Conference paper","Final","","Scopus","2-s2.0-105026750459"
"Wang Y.; Gan J.; Fang R.; Lai P.","Wang, Yilei (57222133775); Gan, Jiaxin (59565078300); Fang, Ruixiong (57985851100); Lai, Peichao (57985522100)","57222133775; 59565078300; 57985851100; 57985522100","Span-based sliding window feature extraction and label knowledge for few-shot Named Entity Recognition","2025","Engineering Applications of Artificial Intelligence","162","","112702","","","2","10.1016/j.engappai.2025.112702","https://www.scopus.com/pages/publications/105025688452?origin=resultslist","Named Entity Recognition remains a fundamental task in natural language processing with significant downstream applications. However, named entity recognition in low-resource scenarios continues to face persistent challenges, primarily due to character ambiguity, gaps in domain-specific knowledge, and the absence of explicit word boundaries in character-dense languages. Existing methods largely rely on external lexicons, corpora, or cross-domain transfer learning, but they suffer from three major limitations: over-reliance on external resources, limited capacity to handle nested entities and multi-label annotations, and inadequate entity awareness in low-resource settings. To address these issues, we propose an innovative span-based framework that integrates contextual feature learning with label knowledge utilization. Our method introduces a sliding window mechanism to capture context-aware character representations, effectively resolving character ambiguity while eliminating the dependency on external resources. In addition, a biaffine span classification architecture is employed to model boundary-aware scoring matrices, enabling the unified recognition of both flattened and nested entities. To further enhance entity awareness under low-resource conditions, we incorporate a novel sentence-level auxiliary module that predicts label-specific entity counts. This auxiliary task captures the distributional patterns of entities, serving as an additional supervisory signal that guides the model during training. Comprehensive experiments on both nested and flattened named entity recognition benchmark datasets across multiple languages demonstrate the superior performance and strong generalization ability of our approach, achieving state-of-the-art results. These findings underscore the potential of our method to advance the development of few-shot named entity recognition. © 2025 Elsevier Ltd.","Few-shot learning; Information extraction; Named entity recognition","Benchmarking; Character recognition; Extraction; Learning systems; Natural language processing systems; Domain-specific knowledge; Downstream applications; External resources; Features extraction; Few-shot learning; Information extraction; Language processing; Named entity recognition; Natural languages; Sliding Window; Information retrieval","Article","Final","","Scopus","2-s2.0-105025688452"
"Zhao Y.; Cai J.; Fang Z.; Lv J.; Zhang W.","Zhao, Yi (60265547400); Cai, Jiyuan (58846722000); Fang, Zili (58202717300); Lv, Jiaojiao (60113555800); Zhang, Wenbo (56840959400)","60265547400; 58846722000; 58202717300; 60113555800; 56840959400","Deep Learning-Based Blind Estimation of Compression Factor in SEFDM Systems","2025","Proceedings of SPIE - The International Society for Optical Engineering","13990","","1399043","","","0","10.1117/12.3088031","https://www.scopus.com/pages/publications/105026499786?origin=resultslist","Spectrum-efficient frequency division multiplexing (SEFDM) is considered an effective solution for improving spectrum efficiency. However, the compression factor of SEFDM has a significant impact on system performance, and the receiving end needs to accurately identify it. This paper investigates the problem of blind estimation of the compression factor in SEFDM systems using deep learning technology. Using a multi-feature-multi-architecture collaborative optimization framework, the study compares the estimation performance of multiple feature inputs and multiple network architectures for the compression factor. The results indicate that feature selection is critical: frequency-domain features, particularly the Gram Angle Matrix (GRAM), significantly outperform time-domain features by better capturing the spectral distortion introduced by compression. Among all models, the CNN combined with GRAM features achieves the highest classification accuracy, approaching 100% under extreme compression factors. Additionally, the method demonstrates robustness to additive white Gaussian noise, maintaining high accuracy across a wide range of signal-to-noise ratios. These findings highlight the feasibility of applying deep learning to blind parameter estimation in advanced communication systems. © 2025 SPIE.","Blind Estimation; Compression Factor; Deep Learning; SEFDM","Blind equalization; Frequency domain analysis; Gaussian noise (electronic); Image processing; Learning systems; Network architecture; Signal to noise ratio; Spectrum efficiency; Time domain analysis; White noise; Blind estimations; Compression factor; Deep learning; Effective solution; Frequency-division- multiplexing; Learning technology; Spectra efficiency; Spectrum efficient; Spectrum-efficient frequency division multiplexing; Systems performance; Deep learning","Conference paper","Final","","Scopus","2-s2.0-105026499786"
"Wu J.; Hu A.; Li H.; Tang B.","Wu, Jinfeng (60254709900); Hu, Axiang (60254669700); Li, Haotian (60254539800); Tang, Bin (57232752500)","60254709900; 60254669700; 60254539800; 57232752500","Trans CNN fusion network -A hybrid parallel architecture for fine medical image segmentation","2025","Proceedings of SPIE - The International Society for Optical Engineering","13807","","1380720","","","0","10.1117/12.3088242","https://www.scopus.com/pages/publications/105025742184?origin=resultslist","Medical image segmentation is crucial for clinical diagnosis and treatment planning,but it requires models to capture fine local details and understand global contextual relationships.Although traditional convolutional neural networks (CNNs) perform well in extracting local features,their inherent local receptive fields limit their ability to model long-range dependencies.On the other hand,although Transformer models excel at capturing global information through self attention mechanisms,they may lose low-level spatial details that are crucial for accurate segmentation when processing images.To overcome these challenges,this study proposes a novel parallel branch architecture called Trans CNN Fusion Network (TCF Net).This architecture synergistically combines a CNN encoder and a Swin Transformer encoder to extract both local texture features and global semantic information in parallel.The core innovation we designed is a Multi Scale Attention Fusion (MSAF) module that can intelligently and adaptively merge feature streams from two parallel branches,significantly outperforming simple feature concatenation methods.In addition,to address the common issue of class imbalance in medical images,we employed a hybrid Dice Focal loss function for model optimization.The experimental results on the publicly available BraTS 2021 brain tumor segmentation dataset show that TCF Net outperforms existing baseline models in all evaluation metrics,with an average Dice coefficient improved by 3.5% compared to TransUNet,demonstrating its outstanding performance and effectiveness in segmenting complex tumor subregions.This work provides a powerful new paradigm for high-precision automated medical image analysis. © 2025 SPIE.","attention mechanism; Convolutional neural network; feature fusion; Medical image segmentation; Transformer","Architecture; Convolution; Convolutional neural networks; Diagnosis; Medical image processing; Parallel architectures; Semantics; Signal encoding; Textures; Tumors; Attention mechanisms; Clinical diagnosis; Clinical treatments; Convolutional neural network; Features fusions; Hybrid parallel architectures; Medical image segmentation; Neural network fusions; Parallel branches; Transformer; Image segmentation","Conference paper","Final","","Scopus","2-s2.0-105025742184"
"Li J.; Zhang Y.; Zheng C.; Su Y.; Yang H.","Li, Jinshan (58759669400); Zhang, Yumei (55739928600); Zheng, Chunwen (60286619000); Su, YuPing (55763660700); Yang, Honghong (55968539600)","58759669400; 55739928600; 60286619000; 55763660700; 55968539600","Music generation based on multi-heterogeneous features and multi-scale state space models","2025","Proceedings of SPIE - The International Society for Optical Engineering","13978","","139781V © 2025 SPIE","","","0","10.1117/12.3089507","https://www.scopus.com/pages/publications/105026750696?origin=resultslist","To address the issues of reconstructing raw audio signals in music generation tasks and the limitations of music generation methods based solely on state space models, which fail to fully integrate multi-heterogeneous features at the musical level, we propose a music generation method based on multi-heterogeneous features and multi-scale state space models. We design a multi-scale architecture based on State Space Models (SSMs) to model the long-range structures and transient details of music across different temporal resolutions, enhancing both global and local interactions between musical samples. Simultaneously, we introduce an adaptive segmentation module driven by rhythm, pitch, and dynamics, which enables dynamic windowing and adaptive sampling of audio trajectories, thereby improving the training efficiency and reconstruction quality of the generative model. Furthermore, we design a multi-heterogeneous feature fusion module that dynamically generates gating weights through dual-stage cascaded convolutions to integrate features, thereby enhancing the model's capacity to represent the dynamic details of music. The experimental results indicate that our model achieves superior performance compared to advanced music generation models such as Sashimi and WaveNet on Guzheng music generation tasks. © 2025 SPIE. All rights reserved.","Guzheng music generation; multi-heterogeneous feature fusion; raw audio signal reconstruction; state space models","Audio acoustics; Audio signal processing; Computer music; Computer vision; Memory architecture; Signal reconstruction; Audio signal; Features fusions; Generation method; Guzheng music generation; Heterogeneous features; Multi-heterogeneous feature fusion; Multi-scales; Raw audio signal reconstruction; Signals reconstruction; State-space models; State space methods","Conference paper","Final","","Scopus","2-s2.0-105026750696"
"Karmakar D.; Mendis L.; Keenan E.; Palaniswami M.; Hastie R.; Makalic E.; Brownfoot F.","Karmakar, Debjyoti (24436288600); Mendis, Lochana (58627892800); Keenan, Emerson (57204516911); Palaniswami, Marimuthu (7005048570); Hastie, Roxanne (56400540300); Makalic, Enes (57205396152); Brownfoot, Fiona (24342895400)","24436288600; 58627892800; 57204516911; 7005048570; 56400540300; 57205396152; 24342895400","Impact of missing electronic fetal monitoring signals on perinatal asphyxia: a multicohort analysis","2025","npj Digital Medicine","8","1","233","","","5","10.1038/s41746-025-01665-4","https://www.scopus.com/pages/publications/105003955092?origin=resultslist","Cardiotocography (CTG) is essential for monitoring high-risk pregnancies, yet perinatal asphyxia prediction accuracy remains limited to 50–55%. Regions of artifacts (missing valid signals)-including signal processing aberrations-possibly contribute to this limitation, highlighted by 40% of FDA reports on intrapartum stillbirths. This cohort study applied causal inference to two digitized CTG databases, analyzing 36,792 labor episodes (>36 weeks) at a tertiary Australian hospital (2010–2021) and externally validating on a Czech dataset (n = 552).High rates of missing valid signals (>30% fetal heart rate signal dropout or >1% maternal-fetal heart rate coincidence) was independently associated with asphyxia (aOR 1.47, 95% CI 1.19–1.81); dropout >30% showing stronger link (aOR 1.58, 95% CI 1.13–2.20 Australian dataset; aOR 2.30, 95% CI 1.08–4.91 Czech dataset). Risk of asphyxia increased with higher dropout (>37.45%, aOR 2.21 Australian dataset; >34.01%, aOR 4.08 Czech dataset). Integrating measures of missing valid signals into fetal monitoring algorithms may improve decision-making and neonatal outcomes. © The Author(s) 2025.","","Fetal monitoring; Causal inferences; Cohort studies; Foetal heart rates; Heart rate signal; High rate; High-risk pregnancies; Monitoring signals; Prediction accuracy; Signal-on; Signal-processing; Article; asphyxia; Australian; cardiotocography; cohort analysis; decision support system; deep learning; female; fetus; fetus anoxia; fetus heart rate; fetus monitoring; high risk pregnancy; human; major clinical study; male; perinatal asphyxia; signal processing; uterus contraction; Neonatal monitoring","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003955092"
"Jakubec M.; Lieskovska E.; Pocta P.","Jakubec, Maros (57210556805); Lieskovska, Eva (57210592090); Pocta, Peter (23005874900)","57210556805; 57210592090; 23005874900","A robust deep learning based model for denoising phonocardiogram signals in clinical environments","2025","Engineering Applications of Artificial Intelligence","161","","112286","","","2","10.1016/j.engappai.2025.112286","https://www.scopus.com/pages/publications/105016097171?origin=resultslist","A cardiac auscultation, being a very popular first line cardiovascular diseases screening method, typically produces phonocardiogram signals contaminated by background sounds, e.g., speech and movement of other patients and doctors/nurses, phone ringing and door knocking/opening/closing, and internal physiological body noises, e.g., lung sounds, muscle contraction and motion artifacts, as it is usually done in a noisy environment and it is not possible to suppress all the internal physiological body noises. So, a quality of the recording is finally decreased. Moreover, this can strongly affect a subsequent analysis/classification of the captured recording and can also lead to its incorrect classification. In this paper, we propose a novel deep convolutional architecture that integrates the bidirectional long short-term memory layers with the transformer blocks involving multi-head attention mechanism, which is particularly designed for denoising phonocardiogram signals. The performance of the proposed artificial intelligence-based approach is evaluated through synthetic data generated by using one public phonocardiogram dataset and two public real-world hospital ambient/respiratory sound databases as well as by deploying two public and renowned real-world clinical environment datasets containing phonocardiogram signals contaminated by various environmental and physiological noises recorded during the clinical auscultations. The deployed complex evaluation strategy assures a higher robustness and generalizability of the proposed approach. As also a result of that, the proposed model outperforms the current state-of-the-art approaches and provides the significant improvements in all the assessed signal quality and noise suppression metrics and over all the involved benchmark datasets. Finally, it should be noted here that the model achieved an average estimated SNR of 14.984 dB and 11.924 dB for the PASCAL and CirCor22 dataset respectively, which represent the renowned real-world clinical environment datasets. © 2025 Elsevier Ltd","Artificial intelligence; Deep learning; Denoising; Heart sound; Noise reduction; Phonocardiogram; Transformer","Acoustic noise; Artificial heart; Benchmarking; Biomedical signal processing; Cardiology; Diseases; mHealth; Muscle; Noise abatement; Phonocardiography; Signal denoising; Speech communication; Spurious signal noise; % reductions; Cardiovascular disease; Clinical environments; De-noising; Deep learning; Heart sounds; Learning Based Models; Phonocardiograms; Real-world; Transformer; Deep learning","Article","Final","","Scopus","2-s2.0-105016097171"
"Bukhari S.S.; Ansari S.U.; Jadoon K.K.; Ali R.H.","Bukhari, Syeda Sana (60097926100); Ansari, Shahab U. (37028238800); Jadoon, Khurram Khan (59031686700); Ali, Raja Hashim (56342801000)","60097926100; 37028238800; 59031686700; 56342801000","Artificial Intelligence-based phonocardiogram signal classification using segment-specific multi-domain features for cardiovascular and arterial disease","2025","Engineering Applications of Artificial Intelligence","161","","112280","","","10","10.1016/j.engappai.2025.112280","https://www.scopus.com/pages/publications/105015853766?origin=resultslist","Heart diseases are the leading cause of death globally, and early diagnosis coupled with timely treatment can save lives. The human heart produces sounds that reflect the functions of its valves and chambers, with murmurs often indicating abnormal heart behavior. The phonocardiogram (PCG) analysis offers a quick, easy, and affordable diagnostic method for detecting such conditions. The PhysioNet/2016 dataset, containing annotated heart sound recordings, has advanced automated heart sound classification research. Despite the dataset encompassing nine classes of heart diseases, it has primarily been used for binary classification tasks. Multi-class classification is challenging due to overlapping acoustic features among certain heart conditions and signal variability. To address these issues, we implemented segment specific feature extraction across six domains — time, frequency, amplitude, wavelet, spectrum, signal processing — and evaluated various machine learning classifiers. Our findings revealed that the Random Forest classifier outperformed others, leading us to integrate it into our model. On the testing dataset, it attained 94% accuracy, 93% sensitivity and 93% specificity for binary classification Our model achieved 89% accuracy, 80% sensitivity and 98% specificity for nine-class classification including both valve diseases and artery-related conditions. © 2025 Elsevier Ltd","Application of Artificial Intelligence; Biomedical signal processing; Diagnosis of heart disease; Machine learning classification; Segmentation of phonocardiogram; Wavelet decomposition","Acoustics; Artificial heart; Bioelectric phenomena; Biomedical signal processing; Cardiology; Classification (of information); Classifiers; Computer aided diagnosis; Diseases; Heart; Learning systems; Machine learning; Phonocardiography; Statistical tests; Application of artificial intelligence; Biomedical signals processing; Condition; Diagnose of heart disease; Heart disease; Heart sounds; Machine learning classification; Phonocardiograms; Segmentation of phonocardiogram; Wavelets decomposition; Wavelet decomposition","Article","Final","","Scopus","2-s2.0-105015853766"
"Wang X.; Ye Q.; Liu A.; Zhang J.; Zhong X.","Wang, Xinwei (60277664200); Ye, Qing (57201324182); Liu, Aibing (60277969000); Zhang, Junyu (59134931900); Zhong, Xiangyu (60277363100)","60277664200; 57201324182; 60277969000; 59134931900; 60277363100","Intelligent image processing for laser glare interference","2025","Proceedings of SPIE - The International Society for Optical Engineering","13998","","139980E","","","0","10.1117/12.3091177","https://www.scopus.com/pages/publications/105026567673?origin=resultslist","Laser dazzle interference poses a serious threat to the reliability and information acquisition capabilities of optoelectronic imaging systems, causing severe image degradation. To address this challenge and enhance system robustness in adversarial environments, this study pioneers the application of the Half Instance Normalization Network (HINet) for laser protection. Leveraging deep learning techniques, we establish an end-to-end framework for restoring degraded images. A key innovation lies in our dataset synthesis methodology: unlike existing approaches, we experimentally captured laser flare images under controlled variations in laser power, incident angles, and spatial positions. These were combined with real-scene backgrounds to generate a specialized laser interference dataset comprising 1,500 samples. Utilizing HINet’s half-instance normalization blocks, our model effectively addresses the non-uniform degradation patterns in dazzled images. Reconstruction performance was evaluated using Peak Signal-to-Noise Ratio (PSNR) and Structural Similarity Index (SSIM). Experimental results demonstrate that HINet achieves state-of-the-art performance on the test set, with a PSNR of 31.06 dB and an SSIM of 0.9486. This represents a significant improvement over FFA-Net (PSNR +6.7 dB) and MFDNet (PSNR +15.23 dB). The proposed method effectively restores high-frequency details in flare-occluded regions while maintaining high color fidelity. This work provides an effective solution for suppressing laser dazzle interference, thereby enhancing the stability and robustness of optoelectronic imaging systems in complex adversarial scenarios. © 2025 SPIE.","image restoration; Laser dazzle; laser protection; neural networks","Deep learning; Glare; Imaging systems; Laser applications; Optoelectronic devices; Reconstruction (structural); Restoration; Wave interference; Information acquisitions; Intelligent image processing; Laser dazzle; Laser protection; Neural-networks; Normalisation; Optoelectronic imaging system; Peak signal to noise ratio; Similarity indices; Structural similarity; Image reconstruction; Neural networks","Conference paper","Final","","Scopus","2-s2.0-105026567673"
"Uppalapati K.; Yimenicioglu B.; Eftekhari A.; Abdulkareem S.","Uppalapati, Khartik (59465812500); Yimenicioglu, Bora (60152374600); Eftekhari, Adan (59955623400); Abdulkareem, Shakeel (59702809400)","59465812500; 60152374600; 59955623400; 59702809400","Rare Disease Phenotyping via Self-Supervised Multimodal Learning","2025","BCB 2025 - Proceedings of the 16th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics","","","33","","","2","10.1145/3765612.3767304","https://www.scopus.com/pages/publications/105025517641?origin=resultslist","Rare genetic disorders often subject patients to years-long ""diagnostic odysseys""involving fragmented analyses of genome sequences, neuroimaging scans, and biosignal recordings. We propose a multimodal self-supervised foundation model that learns unified representations from whole exome sequencing (WES), volumetric MRI, and wearable sensor data to phenotype rare diseases. In contrast to siloed machine learning pipelines, our approach uses a single transformer-based encoder-decoder architecture for all three data modalities. We optimize a cross-modal contrastive loss to align patient-specific multimodal features, alongside an ontology-based loss grounding representations in biomedical knowledge graphs. Across zero-shot retrieval and classification tasks, our model outperforms state-of-the-art specialized baselines. We demonstrate zero-shot rare-disease identification with a +5.6% AUROC gain over the best prior method. Key contributions include: (i) a unified multimodal transformer that handles genomic variants, 3-D images, and time-series signals, (ii) an ontology-aligned latent space that embeds patient data alongside Human Phenotype Ontology (HPO) terms, and (iii) extensive experiments showing improved recall in zero-shot rare disease retrieval and clinically meaningful attention-based explanations. © 2025 Copyright is held by the owner/author(s). Publication rights licensed to ACM.","contrastive learning; genomics; medical imaging; multimodal learning; ontology alignment; rare diseases; self-supervised learning; wearable sensors","Computer aided diagnosis; Diseases; Hospital data processing; Human engineering; Learning algorithms; Learning systems; Medical computing; Neuroimaging; Self-supervised learning; Supervised learning; Wearable computers; Wearable sensors; Biosignals recording; Foundation models; Genetic disorders; Genome sequences; Genomics; Multi-modal; Multi-modal learning; Ontology alignment; Phenotyping; Rare disease; Ontology","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105025517641"
